position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Pierre Buyoya,Q380916,1996-07-25,2003-04-30,male,1949-11-24,2020-12-17,Pierre Buyoya at Chatham House 2013 crop.jpg,Pierre Buyoya
President,Domitien Ndayizeye,Q358332,2003-04-30,2005-08-26,male,1953-05-02,,"Domitien Ndayizeye, President of Burundi.jpg",Domitien Ndayizeye
President,Pierre Nkurunziza,Q57343,2005-08-26,2020-06-08,male,1964-12-18,2020-06-08,Pierre Nkurunziza - World Economic Forum on Africa 2008.jpg,Pierre Nkurunziza
President,Pascal Nyabenda,Q16873213,2020-06-08,2020-06-18,male,1966-04-12,,,Pascal Nyabenda
President,Évariste Ndayishimiye,Q27329764,2020-06-18,,male,1968-06-17,,Evariste Ndayishimiye (cropped).jpg,Évariste Ndayishimiye
Vice-President,Domitien Ndayizeye,Q358332,2001-11-01,2003-04-30,male,1953-05-02,,"Domitien Ndayizeye, President of Burundi.jpg",Domitien Ndayizeye
Vice-President,Alphonse-Marie Kadege,Q2839679,2003-04-30,2004-11-11,male,,,,Alphonse-Marie Kadege
Vice-President,Frédéric Ngenzebuhoro,Q3090093,2004-11-11,2005-08-29,male,1952-04,,,Frédéric Ngenzebuhoro
Vice-President,Prosper Bazombanza,Q96695249,2020-06-23,,male,,,Vice President of Burundi Prosper Bazombanza.png,Prosper Bazombanza
First Vice-President,Frédéric Bamvuginyumvira,Q3089596,1998-06-11,2001-11-01,male,1961-06-24,,,Frédéric Bamvuginyumvira
First Vice-President,Martin Nduwimana,Q2164703,2005-08-29,2007-11-07,male,1958,,,Martin Nduwimana
First Vice-President,Yves Sahinguvu,Q2157541,2007-11-08,2010-08,male,1949-12-20,,,Yves Sahinguvu
First Vice-President,Therence Sinunguruza,Q3527314,2010-08-28,2013-10,male,1959-08-02,2020-05-08,,Thérence Sinunguruza
First Vice-President,Bernard Busokoza,Q97956471,2013-10,2014-02-01,male,1953-08-06,,,Bernard Busokoza
First Vice-President,Prosper Bazombanza,Q96695249,2014-02-14,2015-08-20,male,,,Vice President of Burundi Prosper Bazombanza.png,Prosper Bazombanza
First Vice-President,Gaston Sindimwo,Q27329155,2015-08-20,2020-06-23,male,1965,,Gaston Sindimwo.jpg,Gaston Sindimwo
Second Vice-President,Mathias Sinamenye,Q3298604,1998-06-11,2001-11-01,male,,,,Mathias Sinamenye
Second Vice-President,Alice Nzomukunda,Q2836630,2005-08-29,2006-09-05,female,1966-04-12,,,Alice Nzomukunda
Second Vice-President,Marina Barampama,Q3293137,2006-09-07,2007-02-08,female,1969,,,Marina Barampama
Second Vice-President,Gabriel Ntisezerana,Q1803951,2007-02-12,2010-08-28,male,,,Gabriel Ntisezerana with Obamas cropped.jpg,Gabriel Ntisezerana
Second Vice-President,Gervais Rufyikiri,Q3104430,2010-08-28,2015-08-20,male,1965-04-12,,,Gervais Rufyikiri
Second Vice-President,Joseph Butore,Q17175411,2015-08-20,2020-06-23,male,1969,,,Joseph Butore
Prime Minister,Alain-Guillaume Bunyoni,Q27231038,2020-06-24,,male,1972-04-23,,Alain-Guillaume Bunyoni 2020 (cropped).jpg,Alain-Guillaume Bunyoni
Minister of Foreign Affairs,Therence Sinunguruza,Q3527314,2001,2005,male,1959-08-02,2020-05-08,,Thérence Sinunguruza
Minister of Foreign Affairs,Severin Ntahomvukiye,Q7457884,2001,2005,male,1944,,,Severin Ntahomvukiye
Minister of Foreign Affairs,Antoinette Batumubwira,Q2856973,2005,2009,female,1956,,,Antoinette Batumubwira
Minister of Foreign Affairs,Augustin Nsanze,Q767984,2009,2011-11,male,1953,,,Augustin Nsanze
Minister of Foreign Affairs,Laurent Kavakure,Q6501150,2011-11,2015-05-18,male,1959-01-05,,,Laurent Kavakure
Minister of Foreign Affairs,Alain Aimé Nyamitwe,Q27204810,2015-05-18,2018-04-19,male,1971,,Alain Aimé Nyamitwe 1 (cropped).jpg,
Minister of Foreign Affairs,Ezechiel Nibigira,Q5423116,2018-04-19,2020-06-30,male,,,Burundian Minister of Foreign Affairs Ezéchiel Nibigira.png,Ezéchiel Nibigira
Minister of Foreign Affairs,Albert Shingiro,Q107361984,2020-06-30,,male,,,Burundian Minister of Foreign Affairs Albert Shingiro.png,Albert Shingiro
Minister of Internal Security,Alain-Guillaume Bunyoni,Q27231038,2007-11-07,2011-11-11,male,1972-04-23,,Alain-Guillaume Bunyoni 2020 (cropped).jpg,Alain-Guillaume Bunyoni
Minister of Internal Security,Alain-Guillaume Bunyoni,Q27231038,2015-08-24,2020-06,male,1972-04-23,,Alain-Guillaume Bunyoni 2020 (cropped).jpg,Alain-Guillaume Bunyoni
Minister of Justice,Clotilde Niragira,Q2979694,2005,2007,female,1968,2021-02-19,,Clotilde Niragira
Minister of National Defence,Germain Niyoyankana,Q5550986,2005,2010-08-30,male,1955,,,Germain Niyoyankana
Minister of National Defence,Pontien Gaciyubwenge,Q19939064,2010-08-30,2015-05-18,male,1956,,Visit of Minister of Defence Burundi. (6230631962) (cropped).jpg,Pontien Gaciyubwenge
Minister of National Defence,Emmanuel Ntahomvukiy,Q23674942,2015-05-25,,male,1969,,,
Minister of Youth,Evelyne Butoyi,Q98560477,2018-04-19,,female,1975,,,
